,datadate,turbulence
1655,20181026,23.028948390303945
1656,20181029,25.107502130468262
1657,20181030,31.856586410043832
1658,20181031,30.591661358418715
1659,20181101,25.989251664194306
1660,20181102,27.805813258971817
1661,20181105,29.089575761176917
1662,20181106,29.962647527445903
1663,20181107,28.062452469813415
1664,20181108,29.557742378705605
1665,20181109,23.284527008640367
1666,20181112,26.417313088337423
1667,20181113,22.03037712237721
1668,20181114,23.389269390504065
1669,20181115,23.20994848774083
1670,20181116,20.082376178506554
1671,20181119,21.914039788232202
1672,20181120,19.930059822178364
1673,20181121,21.11277506672326
1674,20181122,18.897649887342702
1675,20181123,18.740315745593787
1676,20181126,21.31940775465102
1677,20181127,20.910477710398926
1678,20181128,22.707410107397322
1679,20181129,22.930343703719714
1680,20181130,24.055549448104507
1681,20181203,24.22871809721216
1682,20181204,25.96609369962797
1683,20181205,24.825299786525747
1684,20181206,19.207511134017217
1685,20181207,15.295468195997648
1686,20181210,16.669044415682517
1687,20181211,16.665620000899853
1688,20181212,14.550690706292102
1689,20181213,15.701873482782233
1690,20181214,13.889721620505686
1691,20181217,12.636382494693635
1692,20181218,11.000263838795314
1693,20181219,8.32308963993153
1694,20181220,8.638138798878451
1695,20181221,10.167634721123804
1696,20181224,9.721583664735956
1697,20181225,12.936746939625564
1698,20181226,18.310497630305377
1699,20181227,25.161942331685204
1700,20181228,25.53677474410161
1701,20190102,23.15794111310757
1702,20190103,21.141111177986858
1703,20190104,20.42759261488441
1704,20190107,19.75842897398023
1705,20190108,18.293692001120114
1706,20190109,14.411652626017808
1707,20190110,13.299066283723374
1708,20190111,13.439041403565941
1709,20190114,13.644460701367414
1710,20190115,17.524451815175023
1711,20190116,14.397802597278837
1712,20190117,16.850896171936828
1713,20190118,19.272048956591817
1714,20190121,15.515750009162499
1715,20190122,15.936082208911728
1716,20190123,16.069354184814248
1717,20190124,14.369094655537717
1718,20190125,14.797202047516102
1719,20190128,19.03378737352129
1720,20190129,16.966469773349292
1721,20190130,15.2279133545316
1722,20190131,14.531869149417775
1723,20190201,13.834672005112346
1724,20190211,18.175794946642476
1725,20190212,18.6246706158235
1726,20190213,18.05606303773941
1727,20190214,18.71684421576919
1728,20190215,20.453810480526357
1729,20190218,20.483858756706727
1730,20190219,19.26760269045967
1731,20190220,16.720027208068764
1732,20190221,15.982600596819944
1733,20190222,21.694789269896845
1734,20190225,25.248788955403903
1735,20190226,23.66311880381089
1736,20190227,23.548637289556734
1737,20190228,25.060675886173765
1738,20190301,34.21629904795451
1739,20190304,31.22468682480125
1740,20190305,31.58362513651974
1741,20190306,32.625770107264145
1742,20190307,34.845350563292996
1743,20190308,34.91018859285896
1744,20190311,34.75513542638148
1745,20190312,30.00444970686044
1746,20190313,36.70055423365697
1747,20190314,38.27550163825947
1748,20190315,41.074261584764756
1749,20190318,44.848146593270194
1750,20190319,36.60327062718092
1751,20190320,40.26790686396912
1752,20190321,42.257722591251515
1753,20190322,40.835327916671474
1754,20190325,34.37855486903207
1755,20190326,32.59985354398949
1756,20190327,40.81541137433533
1757,20190328,45.47188454834778
1758,20190329,56.2828527936057
1759,20190401,55.353644241337506
1760,20190402,58.63649531742512
1761,20190403,70.29001947034163
1762,20190404,66.92117197870702
1763,20190408,80.60365891579399
1764,20190409,64.85442165184944
1765,20190410,68.05544462506663
1766,20190411,58.096176657661914
1767,20190412,54.353352844411205
1768,20190415,51.51965035127303
1769,20190416,55.9416263258708
1770,20190417,49.14000119723083
1771,20190418,49.03392024382495
1772,20190419,51.30699845068423
1773,20190422,48.49236288791368
1774,20190423,54.58630808635057
1775,20190424,54.258589319497545
1776,20190425,49.67780977760814
1777,20190426,51.806356585692214
1778,20190429,54.183566060898144
1779,20190430,47.168214285909265
1780,20190506,36.09160768006059
1781,20190507,33.67540201787719
1782,20190508,31.513589272479713
1783,20190509,26.93353970842788
1784,20190510,32.25492290757204
1785,20190513,31.425824093647947
1786,20190514,30.518438914728847
1787,20190515,36.34913342264723
1788,20190516,36.03083722104384
1789,20190517,31.06555589751849
1790,20190520,29.623380590081503
1791,20190521,31.28251281607454
1792,20190522,30.435021246123178
1793,20190523,30.430158886104838
1794,20190524,32.20530726095634
1795,20190527,30.416607109665584
1796,20190528,28.071483790007242
1797,20190529,32.30747060780976
1798,20190530,30.59045443857405
1799,20190531,29.236148994376613
1800,20190603,27.248077617044117
1801,20190604,23.717152596418376
1802,20190605,24.945247392817354
1803,20190606,24.533152998721
1804,20190610,26.515630938333935
1805,20190611,32.24290088276918
1806,20190612,30.670629380003408
1807,20190613,29.519530942783515
1808,20190614,30.573016563897394
1809,20190617,30.164398204442488
1810,20190618,29.835302434403896
1811,20190619,31.829280977070177
1812,20190620,41.96746853403388
1813,20190621,38.208030810841336
1814,20190624,38.54404698813592
1815,20190625,33.0502534134447
1816,20190626,30.448624099441837
1817,20190627,34.469368282562726
1818,20190628,34.94886450495733
1819,20190701,40.3730403165936
1820,20190702,35.63153619541286
